kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrix_mul_4th.1.sm_52.ptx 117 : 16384 109856 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 116 : 16384 120096 0 0 0 1024 512 0 0 
matrix_mul_4th.1.sm_52.ptx 115 : 16384 179232 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 114 : 16384 181248 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 113 : 16384 189856 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 112 : 16384 140672 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 110 : 131072 766816 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 109 : 131072 1055456 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 108 : 131072 1439872 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 107 : 131072 1440960 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 106 : 131072 1420544 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 105 : 131072 1417440 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 104 : 131072 1542336 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 103 : 131072 15963744 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 102 : 131072 22541248 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 101 : 131072 1479936 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 100 : 131072 14698720 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 99 : 131072 22626688 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 98 : 131072 1471040 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 97 : 131072 16345024 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 96 : 131072 23212352 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 95 : 131072 1474304 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 94 : 131072 14937632 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 93 : 131072 22693504 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 92 : 131072 1472384 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 91 : 131072 15901696 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 90 : 131072 22185216 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 89 : 131072 1480608 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 88 : 131072 14910144 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 54 : 16384 140576 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 53 : 16384 138720 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 52 : 16384 199584 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 51 : 16384 203200 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 50 : 16384 196256 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 49 : 16384 199456 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 48 : 16384 205952 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 47 : 16384 159936 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 46 : 16384 203904 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 45 : 16384 157792 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 44 : 16384 153024 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 43 : 16384 202720 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 42 : 16384 212256 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 41 : 16384 165120 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 40 : 16384 161120 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 27 : 16384 2794944 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 86 : 131072 1472352 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 57 : 131072 25456704 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 28 : 16384 2785952 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 87 : 131072 22316224 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 29 : 16384 424352 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 30 : 16384 148256 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 31 : 16384 141984 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 32 : 16384 141184 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 33 : 16384 212448 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 34 : 16384 144640 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 35 : 16384 218176 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 36 : 16384 142336 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 37 : 16384 146624 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 38 : 16384 153152 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 39 : 16384 228640 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 58 : 131072 33642016 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 59 : 131072 1470368 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 60 : 131072 22826912 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 61 : 131072 16965696 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 62 : 131072 1473216 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 63 : 131072 23104288 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 64 : 131072 16216928 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 65 : 131072 1472064 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 66 : 131072 21948160 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 67 : 131072 16384800 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 68 : 131072 1470464 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 69 : 131072 22104480 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 70 : 131072 15403840 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 71 : 131072 1472416 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 72 : 131072 22208192 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 73 : 131072 16279040 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 74 : 131072 1475648 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 75 : 131072 22211424 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 76 : 131072 15434400 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 77 : 131072 1471200 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 78 : 131072 21864864 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 79 : 131072 16200800 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 80 : 131072 1469408 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 81 : 131072 22147808 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 82 : 131072 15220032 0 0 0 8192 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 83 : 131072 1471168 0 0 0 0 0 0 0 
matrix_mul_4th.1.sm_52.ptx 84 : 131072 21984032 0 0 0 4096 4096 0 0 
matrix_mul_4th.1.sm_52.ptx 85 : 131072 15756896 0 0 0 8192 4096 0 0 
