kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
complicate_arr.1.sm_52.ptx 57 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 55 : 8 2496 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 54 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 31 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 32 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 45 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 33 : 8 72 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 34 : 8 72 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 47 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 35 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 36 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 37 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 38 : 8 88 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 39 : 8 40 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 40 : 8 48 0 0 0 0 0 0 0 
complicate_arr.1.sm_52.ptx 41 : 8 56 0 0 0 0 0 0 0 
