kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vector_add.1.sm_52.ptx 52 : 512 3104 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 49 : 500 2500 0 0 0 16 16 0 0 
vector_add.1.sm_52.ptx 48 : 500 5096 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 47 : 500 3564 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 46 : 500 5064 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 45 : 500 100340 0 0 0 16 16 0 0 
vector_add.1.sm_52.ptx 44 : 500 96064 0 0 0 16 16 0 0 
vector_add.1.sm_52.ptx 43 : 500 5308 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 42 : 500 3968 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 28 : 512 141120 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 41 : 500 5512 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 29 : 512 141120 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 30 : 512 140992 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 31 : 512 140960 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 32 : 512 3072 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 33 : 512 3136 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 34 : 512 3104 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 35 : 512 5824 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 36 : 512 3840 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 37 : 512 84 0 0 0 0 0 0 1 
vector_add.1.sm_52.ptx 39 : 500 3852 0 0 0 0 0 0 0 
vector_add.1.sm_52.ptx 40 : 500 5372 0 0 0 0 0 0 0 
